Name,Type
tail,Entity
interpretability,Entity
leaf,Entity
Douwe Kiela,Entity
H-GAT and transformer attention,Entity
GPT-5 Thinking,Entity
Daniel Obraczka,Entity
misuse relations,Entity
Gordana Neskovic,Entity
malformed triples,Entity
Sharad Vikram,Entity
non-alcoholic fatty liver disease,Entity
direct multi-token span prediction in semantic space,Entity
"hallucination in large language models: principles, taxonomy, challenges",Entity
ubiquitous tails,Entity
LLM helper,Entity
Preprocessing step 1,Entity
Wikidata and PubGraph,Entity
Haofen Wang,Entity
Jaehoon Lee,Entity
head token embeddings {h1..hm},Entity
This approach,Entity
semantic leaf space,Entity
triple selection,Entity
Jie Qiu,Entity
ontologically invalid outputs,Entity
masked tail,Entity
hypertension,Entity
Exponential decay mask,Entity
incompleteness,Entity
dataset,Entity
ambiguities,Entity
diabetic nephropathy,Entity
Cross-KG use,Entity
Amit Singhal,Entity
Bishwamittra Ghosh et al.,Entity
inflammasome activation,Entity
UMLS KG,Entity
CKD,Entity
semantic nodes,Entity
general-purpose LLMs,Entity
approximate inference,Entity
long multi-hop chains and handle n-ary/qualified relations,Entity
Aaron T. Parisi,Entity
Conventional text datasets,Entity
transformers,Entity
KG,Entity
current sequence,Entity
Nianwen Si,Entity
75% removal,Entity
relation misuse,Entity
Lee Sharkey,Entity
Pandas framework,Entity
KG node,Entity
missing key tokens,Entity
Erhard Rahm,Entity
relevance of seed triples used for training,Entity
encoder-only transformer with graph attention,Entity
Cold-start entities and evolving KGs,Entity
Yuqi Zhu,Entity
Moa Johansson,Entity
no-span MLM/MNM objective,Entity
long-form LLM outputs,Entity
tokens,Entity
a key step toward domain-specific superintelligence,Entity
reliance,Entity
Verifying or synthesizing high-quality data,Entity
thinking mode,Entity
Lovisa Hagström,Entity
retrieved triples,Entity
methods,Entity
Impaired insulin secretion,Entity
insulin-like growth factor 1 level,Entity
Kevin Yu,Entity
Jiri Hron et al.,Entity
motivational example,Entity
IEEE Transactions on Knowledge and Data Engineering,Entity
terms 'gray matter',Entity
syntactic changes,Entity
proposed textual chain graphs,Entity
research,Entity
attention weights to reflect spatial distance in input graphs,Entity
head relation tail,Entity
US,Entity
design goals,Entity
1024-token sequence,Entity
2019/04/01,Entity
worst-case combinatorial explosion,Entity
NVIDIA developer blog,Entity
<pad> tokens,Entity
scoring,Entity
"data quality dimensions, antecedents, and impacts",Entity
no verdicts,Entity
Triple extraction pipeline,Entity
graph-level evaluation,Entity
tail incompleteness in GraphMERT triples,Entity
eight attention heads,Entity
Our approach,Entity
RoBERTa-style encoder-only transformer,Entity
GraphMERT-compatible dataset,Entity
entities,Entity
retrieval,Entity
instantaneous batch size 32,Entity
Table 12,Entity
triple head,Entity
occasional incompleteness in triple tails,Entity
Wolfram Research Inc.,Entity
GraphMERT without span-masking,Entity
has_associated_finding,Entity
entities and relations in the querying stage,Entity
retrieved evidence,Entity
overfitting on scarce semantic examples,Entity
triples,Entity
SYNFAC-EDIT: synthetic imitation edit feedback for factual alignment in clinical summarization,Entity
Peter J. Liu,Entity
Xiaoguang Wang,Entity
Yang Liu et al.,Entity
head entity,Entity
semantic tail nodes from seed KG,Entity
Rui Ray Chen,Entity
graphical encoder-only model,Entity
loss calculation,Entity
Sec. 4,Entity
overstated causality,Entity
"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Łukasz Kaiser, Illia Polosukhin",Entity
"〈chronic kidney disease, has_finding_site, kidney structure〉",Entity
Embedding-based approaches,Entity
Early rule-based information extraction systems,Entity
domain-specific head discovery,Entity
multidimensional embeddings and gradient-based learning,Entity
Knowledge graphs,Entity
skip,Entity
neural multi-hop reasoning with logical rules on biomedical knowledge graphs,Entity
Rajan Gupta,Entity
hallucination is an innate limitation of large language models,Entity
associated triples,Entity
Roman Novak,Entity
ANN algorithm,Entity
implicit representations,Entity
on-line hemodiafiltration,Entity
our model,Entity
relation,Entity
masked language modeling,Entity
contextual relevance and relation diversity,Entity
symbolic side,Entity
neurosymbolic artificial intelligence (AI) applications,Entity
model size or training data scale,Entity
opposite effect,Entity
43.0% ValidityScore,Entity
more conservative and domain-appropriate than LLM KG,Entity
less diverse tails,Entity
noisy or ambiguous data,Entity
using interpretable models instead of explaining black box machine learning models for high stakes decisions,Entity
adhering to biomedical ontologies,Entity
Carlos Cruz,Entity
32B-parameter baseline LLM,Entity
Textual entailment for effective triple validation in object prediction,Entity
Kangxiang Jia,Entity
oxidative stress,Entity
Qwen3-32B runs,Entity
Digital Government: Research and Practice,Entity
dropout,Entity
UMLS semantic rules,Entity
Monireh Ebrahimi,Entity
questions,Entity
November 2023,Entity
"the triple 〈beta-receptor, part_of, plasma membrane〉 as valid",Entity
pairwise distance,Entity
datasets for large language models,Entity
endothelial glucocorticoid receptor,Entity
symbolic KGs,Entity
commas,Entity
Martin Jaggi,Entity
contribution of KGs,Entity
exponential decay mask,Entity
No H-GAT,Entity
design choices,Entity
symbolic representations,Entity
Information,Entity
Edward J. Hu et al.,Entity
ontology violations,Entity
α = 0.55,Entity
maximize relation diversity,Entity
arXiv:2312.10997,Entity
candidate entity,Entity
Tim Rocktäschel,Entity
KG extraction techniques,Entity
selection bias,Entity
component contributions to KG quality,Entity
MonoCoder: domain-specific code language model for HPC codes and tasks,Entity
top 40 triples,Entity
GraphMERT KG-extraction Framework,Entity
128 root nodes,Entity
cell death,Entity
comorbidities,Entity
no valid tail,Entity
triple logical alignment,Entity
Grok 4,Entity
Yunfan Gao,Entity
glucocorticoid receptor locus (GRL) polymorphisms,Entity
MLM + MNM objectives,Entity
Seed KG extraction,Entity
Findings of the Association for Computational Linguistics: EMNLP 2021,Entity
neural learning,Entity
G,Entity
WebGPT: browser-assisted question-answering with human feedback,Entity
cs.CL,Entity
versatility,Entity
ISWC 2023,Entity
Ben Adlam,Entity
GraphMERT (no H-GAT ablation),Entity
Span-masking schema,Entity
Jinliu Pan,Entity
factual errors,Entity
mostly one-hop knowledge,Entity
entities that pass both stages,Entity
drop_triples_with_score_below_alpha,Entity
expensive retraining,Entity
auditability,Entity
Data cleaning,Entity
Table A1,Entity
ranking,Entity
different KGs,Entity
graph attention,Entity
nuance,Entity
Research efforts,Entity
biomedical categories,Entity
thresholding,Entity
Artificial intelligence (AI),Entity
Moya Chen,Entity
linked entity,Entity
context support,Entity
multidimensional embeddings,Entity
GraphMERT triple candidates,Entity
injection threshold α,Entity
"Medical studies (Xiao et al., 2024)",Entity
sanity check,Entity
Shaoxiong Ji et al.,Entity
head entities and relations for prediction,Entity
few_possible_tails_mostly_side,Entity
node embeddings,Entity
Proceedings of the Conference on Empirical Methods in Natural Language Processing,Entity
Shumin Deng,Entity
gradient accumulation,Entity
Terms like 'gray matter',Entity
diabetic cardiomyopathy,Entity
system,Entity
atomic facts,Entity
Yushan Liu et al.,Entity
classificatory relations,Entity
training dataset,Entity
provenance for generated facts,Entity
other types,Entity
convolutional neural networks,Entity
u,Entity
closed-world static graph,Entity
deeper semantic representations and fine-tuning benefits,Entity
hallucinations,Entity
conflicts between retrieved evidence and LLM parametric knowledge,Entity
renal failure syndrome,Entity
retrieved triple,Entity
Masking schema for leaves,Entity
rest of the article,Entity
Igor Mordatch,Entity
hyperparameter α,Entity
islet cell transplant,Entity
benchmark accuracy,Entity
fibrosis,Entity
SNOMED CT,Entity
Seed KG,Entity
small seed KG and ∼100M tokens,Entity
Xinyu Lu et al.,Entity
open information extraction on text chunks,Entity
global concepts,Entity
performance,Entity
Chuang Liu et al.,Entity
masked leaves,Entity
Gemini embedding model,Entity
model weights,Entity
cosine similarity with Gemini embeddings and threshold beta = 0.67,Entity
higher optimal β,Entity
discovered entities,Entity
large LLMs (billions of parameters),Entity
GraphMERT-extracted KG relation distribution,Entity
at_most_one_injected_triple_per_head_per_sequence,Entity
signaling,Entity
no span-masking completions,Entity
peer-reviewed medical abstracts,Entity
symbolic systems,Entity
masked leaf,Entity
Lei Huang et al.,Entity
endocrine pancreas,Entity
"Mayana Pereira, Sikha Pentyala, Anderson Nascimento, Rafael T. de Sousa Jr., Martine De Cock",Entity
Sunil Patel,Entity
KG extraction pipeline,Entity
miR-32-5p,Entity
clarity,Entity
text preprocessing heuristics,Entity
square root,Entity
key tokens required for tail completion are missing,Entity
string similarity,Entity
"Xiangyu Wang, Lyuzhou Chen, Taiyu Ban, Muhammad Usman, Yifeng Guan, Shikang Liu, Tianhao Wu, Huanhuan Chen",Entity
deep learning,Entity
Hao Peng,Entity
68.8% ValidityScore,Entity
ER Ca2+ leakage,Entity
glucocorticoid receptor haploinsufficiency,Entity
semantic space,Entity
prioritization of frequent entities over rare ones,Entity
cross-document understanding,Entity
insulin-like growth factor 1 receptor,Entity
100-1000 examples per relation,Entity
misspelled entities,Entity
Claude Sonnet 4.5,Entity
Hanna Köpcke,Entity
user query,Entity
Angelika Romanou,Entity
UMLS relation has_laterality,Entity
associated_with,Entity
Flawed data sources with misinformation and biases,Entity
Kevin Leyton-Brown,Entity
"UMLS Metathesaurus (SNOMED CT, US, GO)",Entity
evaluators,Entity
experiment,Entity
complex reasoning over knowledge graph with logic-aware curriculum tuning,Entity
cs.LG,Entity
editable,Entity
prompt sensitivity,Entity
a_r,Entity
hand-coded explicit representations,Entity
"Tianle Xia, Liang Ding, Guojia Wan, Yibing Zhan, Bo Du, Dacheng Tao",Entity
Andreas Madsen et al.,Entity
top-scoring triples,Entity
main limitation,Entity
cardiovascular health,Entity
CHOP,Entity
transformer model,Entity
vector-based RAG,Entity
Meng Wang,Entity
high-stakes use cases,Entity
internal representations,Entity
inverse relations,Entity
catastrophic forgetting,Entity
nuance and granularity in completions,Entity
final triples generated by the pipeline,Entity
linked entities,Entity
edit and audit extracted KGs,Entity
Traditional AI research,Entity
graph sequences,Entity
68.8% yes,Entity
optimal hyperparameters,Entity
metabolic syndrome,Entity
accuracy,Entity
baselines,Entity
acceptance and increases rejections,Entity
Leakage of ER Ca2+,Entity
scale,Entity
Jiajie Jin et al.,Entity
maybe verdicts,Entity
performance peaks,Entity
clinical LLM deployment,Entity
140k,Entity
9th International Joint Conference on Natural Language Processing,Entity
specialized domains,Entity
25% removal,Entity
new relations,Entity
out-of-vocabulary relations,Entity
tail tokens {t1..tn},Entity
SARS-CoV-2,Entity
No dropout ablation,Entity
limitations of our methodology,Entity
medical benchmarks,Entity
future work,Entity
Jaccard similarity score,Entity
vLLM,Entity
ar,Entity
selecting_associated_with_during_relation_matching,Entity
context window,Entity
leaf node,Entity
semantic triple,Entity
spatial distance,Entity
Marvin Hofer,Entity
GraphMERT architecture,Entity
Computational complexity,Entity
cross-domain interference,Entity
off-the-shelf large language model (LLM),Entity
Retrieved data sources,Entity
predicate misuse,Entity
type 2 diabetes (T2D),Entity
running the framework,Entity
sequences with heads,Entity
GraphMERT_higher_yes_and_lower_no_proportion_than_LLM_KG,Entity
alignment steps,Entity
medical entities,Entity
entire leaf spans rather than subsets,Entity
both stages,Entity
output tails,Entity
Yi Dai,Entity
modified prompt-based evaluation,Entity
entity discovery,Entity
reliable KGs,Entity
Chain graph (Ic),Entity
models,Entity
masked nodes,Entity
billions of parameters,Entity
input embedding layer,Entity
Jasper Snoek,Entity
fluidity of real-world knowledge,Entity
Chain graph roots,Entity
Sikha Pentyala,Entity
structured data,Entity
entity linking stage,Entity
token embeddings instead of graph node embeddings,Entity
peer-reviewed MEDLINE abstracts and the seed KG,Entity
architecture,Entity
LLMs for knowledge graph construction and reasoning,Entity
No-span MLM/MNM ablation,Entity
Noah Fiedel,Entity
KG directed edge,Entity
top-k similar UMLS entity embeddings,Entity
Incomplete Ideas (blog),Entity
flexibility,Entity
sparsity,Entity
BERT,Entity
span masking objective with one-token masking,Entity
retrieved data sources,Entity
Preprocessing step 2,Entity
retinal structure,Entity
Dan Hendrycks,Entity
hallucinated relations,Entity
80M-parameter GraphMERT,Entity
World Health Organization,Entity
reliable text sources,Entity
ACM Computing Surveys,Entity
LLM context and evidence for retrieval,Entity
granularity,Entity
prompt sensitivity and hallucinations,Entity
head discovery,Entity
endothelial glucocorticoid signaling,Entity
Rosanne Liu,Entity
Entity linking pipeline,Entity
Spencer Poff,Entity
insulin-like growth factor 1 (IGF-1),Entity
neural-KG integration,Entity
accountable,Entity
Gaurav Mishra,Entity
Transactions of the Association for Computational Linguistics,Entity
Shadi Iskander et al.,Entity
machine translation,Entity
Fobo Shi,Entity
KG signal,Entity
a high-quality diabetes KG,Entity
Cynthia Rudin,Entity
disabling H-GAT,Entity
Deepak Nathani et al.,Entity
surviving triples,Entity
semantic relevance score,Entity
John Haugeland,Entity
feature engineering,Entity
Neural networks,Entity
Laura A. Culp,Entity
coherence,Entity
symbols,Entity
Sec. 7,Entity
Table B1,Entity
pathway,Entity
β,Entity
Kaitlyn Zhou,Entity
top-20 predictions,Entity
COVID-19,Entity
planned improvements,Entity
our framework,Entity
glucocorticoid receptor locus (NR3C1) polymorphisms,Entity
few-shot prompts,Entity
new knowledge,Entity
"139,565 triples",Entity
probabilistic generative methods,Entity
Ablation studies,Entity
KG extraction with prompts,Entity
GraphMERT performance,Entity
verifiable knowledge,Entity
UMLS relation has_associated_finding,Entity
transparent view of learned representations,Entity
yes/no/maybe,Entity
long-range dependencies in parallel,Entity
Cristian Berrío,Entity
bone metabolism,Entity
learnable relation embedding,Entity
KG errors,Entity
"Rohan Rao, Benika Hall, Sunil Patel, Christopher Brissette, Gordana Neskovic",Entity
Xindong Wu,Entity
attention decay,Entity
additional data,Entity
inconsistency,Entity
Alexander A. Alemi,Entity
Heyu Chang,Entity
semantic relevance scores,Entity
Artur d'Avila Garcez,Entity
ImageNet classification with deep convolutional neural networks,Entity
bucket_relations_by_unique_triple_counts_select_rarest_relation_highest_score_in_bucket,Entity
Retrieval-augmented generation for large language models: A survey,Entity
GraphMERT KG vocabulary,Entity
medical KG triples,Entity
Problems with cosine as a measure of embedding similarity for high frequency words,Entity
hyperglycemia,Entity
diverse tails,Entity
path to scalable superintelligence,Entity
Sec. 5,Entity
patients with CKD,Entity
Dropout on relation embeddings,Entity
flavonoid,Entity
logical triple,Entity
a subgraph based on community summaries and the query,Entity
incomplete token,Entity
LLM scale,Entity
symbolic reasoning,Entity
leafy chain graphs,Entity
neural models,Entity
process,Entity
seed KG triples,Entity
top triples,Entity
FActScore: fine-grained atomic evaluation of factual precision,Entity
graph structure,Entity
coverage,Entity
has_laterality,Entity
purely neural approaches,Entity
neural networks and symbolic layers,Entity
Yongchan Kwon,Entity
Richard Johansson,Entity
shortest path,Entity
podocyte-specific glucocorticoid receptor knockout,Entity
LLM-generated KGs,Entity
prompt,Entity
69.8%,Entity
activation function,Entity
input sequences and linearized triples,Entity
H-GAT,Entity
ontology violations than LLM KG,Entity
knowledge graphs,Entity
backpropagation,Entity
injection algorithm,Entity
socio-economic categories,Entity
extracted knowledge graphs,Entity
local triple patterns,Entity
PubMed search query,Entity
filtered endocrinology subset,Entity
discard,Entity
Nature,Entity
LLM-driven knowledge graph construction in sepsis care using multicenter clinical databases,Entity
knowledge graphs for global sense-making,Entity
graph node embeddings,Entity
relation embeddings into semantic graph nodes,Entity
sequential input,Entity
James Zou,Entity
Artificial Intelligence Review,Entity
"knowledge graphs: representation, acquisition, and applications",Entity
decision pathways,Entity
MLM,Entity
top 30 entities,Entity
Tris Warkentin,Entity
Continued pretraining,Entity
preprocessing step 2,Entity
high-quality KGs,Entity
editing and auditing capability,Entity
injected triples,Entity
nlrp3,Entity
input sequence,Entity
oocyte cohort quality,Entity
cerebellar gray matter,Entity
β-cell ER Ca2+ homeostasis,Entity
Reiichiro Nakano et al.,Entity
multiple examples,Entity
KG construction pipeline,Entity
semantic triples,Entity
vagueness,Entity
extraneous tokens,Entity
Table C2,Entity
LLM-generated KG baseline,Entity
semantic relation embeddings,Entity
Knowledge Graph,Entity
chain graphs,Entity
growth hormone treatment,Entity
approximate reasoning,Entity
approximate representations,Entity
graph-level metrics,Entity
LLM weights,Entity
unifying entity spellings and token-level selection,Entity
Wout Schellaert,Entity
prompts,Entity
critical investigation of data scraping and hallucinations in Perplexity (WIRED),Entity
verification,Entity
GraphMERT-predicted triples by semantic similarity,Entity
Nospan-masked completions,Entity
Domain adaptation,Entity
KG triple,Entity
Excluded UMLS relations,Entity
directed edge e,Entity
contextualization,Entity
Wr,Entity
Embedding methods,Entity
Denitsa Saynova,Entity
World Wide Web,Entity
diabetes,Entity
vector RAG and HybridRAG on arXiv datasets,Entity
incomplete tails,Entity
injection process,Entity
target domain,Entity
following sections,Entity
"sp(i, j)",Entity
diabetes mellitus,Entity
knowledge graph quality control,Entity
validation,Entity
interpretability and verifiability,Entity
Secure multiparty computation for synthetic data generation from distributed data,Entity
ML methods,Entity
Conditional random fields,Entity
relation embedding,Entity
Tobias Norlund,Entity
steroid signaling,Entity
pads,Entity
Google,Entity
Long short-term memories,Entity
their outputs,Entity
auditable,Entity
syntactic knowledge from text corpora with semantic examples and relations from seed KG,Entity
human intelligence,Entity
left ventricular global longitudinal strain (LVGLS),Entity
SpanBERT: improving pre-training by representing and predicting spans,Entity
embeddings,Entity
incorrect triples,Entity
GraphMERT (80M parameters),Entity
KG signal with backbone model knowledge,Entity
insulin-like growth factor 1 receptor (IGF-1R),Entity
α,Entity
Jascha Sohl-Dickstein,Entity
Rafael T. de Sousa Jr.,Entity
Seyed Mahed Mousavi et al.,Entity
finding_site,Entity
overfitting on the seed KG vocabulary,Entity
trusted text source,Entity
multi-token tails,Entity
experimental setup,Entity
embedding-based approach,Entity
probabilistic reasoning,Entity
Amnon Shashua,Entity
RyR,Entity
top 10 relationships per entity,Entity
Validit yScore,Entity
scaling to billions of parameters,Entity
Updating LLMs,Entity
relevant triples,Entity
K. Elangovan,Entity
domain-specific parameters,Entity
LLM-based KG generation,Entity
answer consistency,Entity
empty leaves,Entity
GPT-5 screening_results_for_IGF-1,Entity
Neural systems,Entity
inconsistency and knowledge-cutoff issues,Entity
Itay Dalmedigos,Entity
cerebellar gray matter abnormalities,Entity
roots,Entity
KG obtained from no-span variant,Entity
Richard Sutton,Entity
experimental results,Entity
Andrés García-Silva,Entity
task-framing,Entity
Jeffrey Pennington,Entity
Table 14,Entity
Bernd Bohnet,Entity
head tokens {h1..hm},Entity
systems,Entity
β = 0.67,Entity
other relations,Entity
"LLMs (Gemini 2.5 Pro, Claude Sonnet 4.5, GPT-5, Grok 4)",Entity
Shuofei Qiao,Entity
opaque,Entity
goal (1),Entity
knowledge graph reasoning with logics and embeddings,Entity
accuracy gain 9.2%,Entity
deep learning in a critical appraisal,Entity
Seed KG relation distribution (α=0.55),Entity
KG embedding models,Entity
Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing,Entity
GraphMERT pipeline,Entity
dataset scale,Entity
edit,Entity
isa,Entity
simplified architecture,Entity
2012,Entity
glucocorticoid receptor (GR),Entity
edges,Entity
user queries,Entity
efficient,Entity
Nature Machine Intelligence,Entity
receptor,Entity
factual and valid domain-specific KG,Entity
impaired insulin secretion,Entity
backpropagation through H-GAT from masked leaves,Entity
Semantic enhancement based knowledge graph completion for graph convolutional neural networks,Entity
3-gram sets,Entity
GraphMERT,Entity
the pipeline,Entity
factual precision,Entity
post,Entity
drawbacks,Entity
Sec. 6,Entity
hallucinations during KG extraction,Entity
embedding layer,Entity
components,Entity
Simon Kornblith,Entity
Transformer model,Entity
Proper dataset valuation by pointwise mutual information,Entity
endothelium,Entity
diabetes training dataset,Entity
ambiguity,Entity
prompt variations,Entity
prior research,Entity
similarity threshold α = 0.55,Entity
Muhammad Khalifa et al.,Entity
relation-aware retrieval and graph-level metrics,Entity
sequences,Entity
valid triples,Entity
state-of-the-art LLM capabilities,Entity
atomic facts in the FActScore framework,Entity
predicate hygiene,Entity
vast web data,Entity
Lovisa Hagström et al.,Entity
technical background,Entity
leaves,Entity
higher α,Entity
removing dropout or H-GAT,Entity
shortest-path distances with square-rooted exponent,Entity
alpha = 0.55 with Gemini text-embedding-004,Entity
Graphormer,Entity
more relation misuse and ontology violations,Entity
fused node feature,Entity
maximize_injection_score_then_maintain_relation_diversity,Entity
Triple selection policy,Entity
Modern pipelines,Entity
structure-aware training,Entity
some types,Entity
v,Entity
multiple mentions into unique entity nodes,Entity
Algorithm implementation,Entity
char-3grams,Entity
symbolic components,Entity
task-specific applications,Entity
69.8% FActScore,Entity
associated_with relation,Entity
masking leaf nodes,Entity
ValidityScore,Entity
predicted tail tokens into coherent phrases,Entity
2025,Entity
PubMed Central,Entity
lower α,Entity
biases,Entity
leaf token embedding,Entity
chronic kidney disease,Entity
domain-specific KGs,Entity
triple sentence,Entity
seed KG,Entity
90 GPU hours,Entity
"Cloze-style prompts (Petroni et al., 2019)",Entity
Entities within the KG,Entity
LSTM and CNN,Entity
ER stress,Entity
Tal Kadosh et al.,Entity
Symbolic methods,Entity
probabilistic inference,Entity
fine-tuning,Entity
leaf tokens,Entity
Maxwell Bileschi,Entity
triples to chain graph semantic space,Entity
N × N matrix,Entity
overly restrictive,Entity
dependence on seed KG and fixed relation set,Entity
medical hallucinations in foundation models and their impact on healthcare,Entity
relation set,Entity
Factuality errors,Entity
Transformers,Entity
ground-truth triple,Entity
entity names,Entity
"Kaitlyn Zhou, Kawin Ethayarajh, Dallas Card, Dan Jurafsky",Entity
Geoffrey G. Towell,Entity
indirect abnormalities,Entity
root tokens,Entity
knowledge base,Entity
variant without span-masking,Entity
structure,Entity
size-quality trade-off,Entity
high-quality diabetes KG,Entity
IGF-1,Entity
"a largely closed-world, static graph",Entity
43.0%,Entity
low-relevance triples,Entity
large-scale pattern recognition,Entity
ICD-Bench,Entity
Errors,Entity
algorithm,Entity
epithelial-mesenchymal transition,Entity
Raymond J. Mooney,Entity
glucocorticoids,Entity
Izzeddin Gur,Entity
reverse test,Entity
memorization,Entity
triple,Entity
token combination,Entity
no H-GAT ablation,Entity
Figure C1,Entity
LLM baseline,Entity
final triples,Entity
prostate cancer,Entity
hallucinated or ontologically invalid KG triples,Entity
relation embeddings,Entity
GraphRAG,Entity
vocabulary,Entity
out-of-distribution domains,Entity
Dallas Card,Entity
general text corpora,Entity
similarity score,Entity
No dropout,Entity
native transformer self-attention module,Entity
Junyi Li et al.,Entity
Luís C. Lamb,Entity
transparency and verifiable interpretability,Entity
verifiable interpretability,Entity
Patryk Gulczyński,Entity
dropout on relation embeddings,Entity
N. Ibrahim et al.,Entity
