name:ID,type,concepts,synsets,:LABEL
The GraphMERT-extracted KG achieves a higher ValidityScore than the LLM baseline,event,[],[],Node
GraphMERT preserves ontology alignment and relation usage patterns from the seed KG,event,[],[],Node
Human experts can edit and audit the extracted KGs,event,[],[],Node
the reliability of the extracted KGs can be further increased,event,[],[],Node
LLMs are oblivious to their training sources,event,[],[],Node
prompt-based KG distillation from an LLM's weights does not provide source attribution,event,[],[],Node
Fine-tuned models demonstrate higher accuracy and fewer hallucinations,event,[],[],Node
fine-tuning adapts models to the domains they are trained on,event,[],[],Node
Fine-tuning requires labeled training data,event,[],[],Node
fine-tuning negatively impacts generalization and reduces adaptability to other knowledge domains,event,[],[],Node
KG extraction from off-the-shelf LLMs is confined to a single context window,event,[],[],Node
extracted triples are often local and may reflect spurious correlations rather than global facts,event,[],[],Node
Extending context length degrades output quality,event,[],[],Node
hallucinations become more frequent and the model's ability to harness lengthy input degrades,event,[],[],Node
High-quality data are scarce,event,[],[],Node
building a reliable domain-specific KG from limited high-quality sources becomes the central question,event,[],[],Node
GraphMERT jointly learns semantic representations from a seed KG and syntactic representations from text,event,[],[],Node
it minimizes masked language modeling and masked node modeling losses,event,[],[],Node
Researchers have pursued neurosymbolic artificial intelligence (AI) applications for nearly three decades because symbolic components provide abstraction while neural components provide generalization.,event,[],[],Node
Researchers,entity,[],[],Node
neurosymbolic artificial intelligence (AI) applications,entity,[],[],Node
symbolic components,entity,[],[],Node
neural components,entity,[],[],Node
A marriage of the two components can lead to rapid advancements in AI.,event,[],[],Node
AI,entity,[],[],Node
Most neurosymbolic AI frameworks fail to scale.,event,[],[],Node
neurosymbolic AI frameworks,entity,[],[],Node
The implicit representations and approximate reasoning of purely neural approaches limit interpretability and trust.,event,[],[],Node
implicit representations,entity,[],[],Node
approximate reasoning,entity,[],[],Node
purely neural approaches,entity,[],[],Node
interpretability,entity,[],[],Node
trust,entity,[],[],Node
"Knowledge graphs (KGs), a gold-standard representation of explicit semantic knowledge, can address the symbolic side.",event,[],[],Node
Knowledge graphs (KGs),entity,[],[],Node
explicit semantic knowledge,entity,[],[],Node
symbolic side,entity,[],[],Node
Automatically deriving reliable KGs from text corpora has remained an open problem.,event,[],[],Node
automatic KG derivation,entity,[],[],Node
reliable KGs,entity,[],[],Node
text corpora,entity,[],[],Node
"We address the above challenges by introducing GraphMERT, a tiny graphical encoder-only model that distills high-quality KGs from unstructured text corpora and its own internal representations.",event,[],[],Node
We,entity,[],[],Node
graphical encoder-only model,entity,[],[],Node
high-quality KGs,entity,[],[],Node
unstructured text corpora,entity,[],[],Node
internal representations,entity,[],[],Node
"GraphMERT and its equivalent KG form a modular neurosymbolic stack: neural learning of abstractions, symbolic KGs for verifiable reasoning.",event,[],[],Node
equivalent KG,entity,[],[],Node
modular neurosymbolic stack,entity,[],[],Node
neural learning,entity,[],[],Node
symbolic KGs,entity,[],[],Node
GraphMERT + KG is the first efficient and scalable neurosymbolic model to achieve state-of-the-art benchmark accuracy along with superior symbolic representations relative to baselines.,event,[],[],Node
neurosymbolic model,entity,[],[],Node
benchmark accuracy,entity,[],[],Node
symbolic representations,entity,[],[],Node
baselines,entity,[],[],Node
We target reliable domain-specific KGs that are both factual (with provenance) and valid (ontology-consistent relations with domain-appropriate semantics).,event,[],[],Node
reliable domain-specific KGs,entity,[],[],Node
factual (with provenance),entity,[],[],Node
valid (ontology-consistent relations),entity,[],[],Node
"When an off-the-shelf large language model (LLM), e.g., Qwen3-32B, generates domain-specific KGs, it falls short on the reliability front due to prompt sensitivity, shallow domain expertise, and hallucinated relations.",event,[],[],Node
off-the-shelf large language model (LLM),entity,[],[],Node
Qwen3-32B,entity,[],[],Node
domain-specific KGs,entity,[],[],Node
prompt sensitivity,entity,[],[],Node
shallow domain expertise,entity,[],[],Node
hallucinated relations,entity,[],[],Node
"Practitioners should avoid employing LLM-generated KGs in high-stakes domains, e.g., medicine, law, business, education.",event,[],[],Node
Practitioners,entity,[],[],Node
LLM-generated KGs,entity,[],[],Node
high-stakes domains,entity,[],[],Node
medicine,entity,[],[],Node
law,entity,[],[],Node
business,entity,[],[],Node
education,entity,[],[],Node
"On text obtained from PubMed papers related to diabetes, our KG extraction pipeline with a small 80M-parameter GraphMERT yields a KG with a 69.8% FActScore.",event,[],[],Node
text from PubMed papers related to diabetes,entity,[],[],Node
KG extraction pipeline,entity,[],[],Node
80M-parameter GraphMERT,entity,[],[],Node
KG,entity,[],[],Node
A 32B-parameter baseline LLM yields a KG that achieves only a 40.2% FActScore.,event,[],[],Node
32B-parameter baseline LLM,entity,[],[],Node
The GraphMERT-extracted KG also achieves a significantly higher ValidityScore of 68.8% compared to an LLM-generated baseline (43.0%).,event,[],[],Node
ValidityScore 68.8%,entity,[],[],Node
LLM-generated baseline,entity,[],[],Node
43.0%,entity,[],[],Node
"Human experts can edit and audit the extracted KGs, further increasing their reliability.",event,[],[],Node
extracted KGs,entity,[],[],Node
edit,entity,[],[],Node
audit,entity,[],[],Node
reliability,entity,[],[],Node
This is nearly impossible with purely-neural representations.,event,[],[],Node
purely-neural representations,entity,[],[],Node
editing and auditing capability,entity,[],[],Node
"GraphMERT enables efficient, scalable, transparent, attributable, accountable, editable, auditable, and continually improvable state-of-the-art neurosymbolic AI.",event,[],[],Node
neurosymbolic AI,entity,[],[],Node
efficient,entity,[],[],Node
scalable,entity,[],[],Node
transparent,entity,[],[],Node
attributable,entity,[],[],Node
accountable,entity,[],[],Node
editable,entity,[],[],Node
auditable,entity,[],[],Node
continually improvable,entity,[],[],Node
Artificial intelligence (AI) has long oscillated between two dominant paradigms: symbolic reasoning and neural learning.,event,[],[],Node
Artificial intelligence (AI),entity,[],[],Node
symbolic reasoning,entity,[],[],Node
"Symbolic systems excel at explicit (rule-based) inference, providing interpretability and strong exact reasoning, but they struggle with noisy or ambiguous data.",event,[],[],Node
Symbolic systems,entity,[],[],Node
explicit inference,entity,[],[],Node
exact reasoning,entity,[],[],Node
noisy or ambiguous data,entity,[],[],Node
"Neural approaches thrive on large-scale and general-purpose pattern recognition, often outperforming hand-coded explicit representations.",event,[],[],Node
Neural approaches,entity,[],[],Node
large-scale pattern recognition,entity,[],[],Node
hand-coded explicit representations,entity,[],[],Node
"Neural networks operate as black boxes, offering little transparency in their decision-making and producing approximate, ambiguous, and difficult-to-control representations.",event,[],[],Node
Neural networks,entity,[],[],Node
black boxes,entity,[],[],Node
transparency,entity,[],[],Node
approximate representations,entity,[],[],Node
Neurosymbolic AI is a synthesis that aims to combine the flexibility of neural models with the rigor and interpretability of symbolic systems.,event,[],[],Node
Neurosymbolic AI,entity,[],[],Node
neural models,entity,[],[],Node
symbolic systems,entity,[],[],Node
flexibility,entity,[],[],Node
rigor,entity,[],[],Node
"Large language models (LLMs) have generated enormous excitement, but their reasoning is probabilistic, often unable to perform causal inference, opaque to humans, and prone to hallucinations.",event,[],[],Node
Large language models (LLMs),entity,[],[],Node
probabilistic reasoning,entity,[],[],Node
causal inference,entity,[],[],Node
opacity,entity,[],[],Node
hallucinations,entity,[],[],Node
LLMs trained on general text corpora may fail to adapt to specialized domains or incorporate new knowledge without expensive retraining.,event,[],[],Node
general text corpora,entity,[],[],Node
specialized domains,entity,[],[],Node
new knowledge,entity,[],[],Node
expensive retraining,entity,[],[],Node
"These limitations highlight the need for external, explicit sources of factual grounding in high-stakes use cases.",event,[],[],Node
limitations of LLMs,entity,[],[],Node
external explicit sources,entity,[],[],Node
factual grounding,entity,[],[],Node
high-stakes use cases,entity,[],[],Node
"Unifying knowledge graphs (KGs) with LLMs could help overcome some of these limitations because KGs encode knowledge in structured, verifiable head-relation-tail triples.",event,[],[],Node
structured head-relation-tail triples,entity,[],[],Node
verifiable knowledge,entity,[],[],Node
"KGs offer interpretability, auditability, and domain-specific depth that LLMs lack and can guide LLM inference while LLMs provide flexible reasoning and a natural language interface.",event,[],[],Node
KGs,entity,[],[],Node
auditability,entity,[],[],Node
domain-specific depth,entity,[],[],Node
flexible reasoning,entity,[],[],Node
natural language interface,entity,[],[],Node
"Constructing a KG from scratch in a new domain is a notoriously arduous task involving cleaning, preprocessing, multi-step knowledge acquisition, and post-processing.",event,[],[],Node
Constructing a KG,entity,[],[],Node
new domain,entity,[],[],Node
cleaning,entity,[],[],Node
preprocessing,entity,[],[],Node
multi-step knowledge acquisition,entity,[],[],Node
post,entity,[],[],Node
GraphMERT pipeline,entity,[],[],Node
domain-agnostic principles,entity,[],[],Node
global concepts across the dataset,entity,[],[],Node
Knowledge Graph,entity,[],[],Node
Google,entity,[],[],Node
"directed graph (V, E)",entity,[],[],Node
KG node,entity,[],[],Node
real-world entities,entity,[],[],Node
KG directed edge,entity,[],[],Node
relationships between entities,entity,[],[],Node
KG triple,entity,[],[],Node
head relation tail,entity,[],[],Node
Metformin,entity,[],[],Node
Type 2 Diabetes,entity,[],[],Node
reasoning challenge,entity,[],[],Node
Symbolic methods,entity,[],[],Node
explicit rules over discrete concepts,entity,[],[],Node
interpretability and verifiability,entity,[],[],Node
scalability and brittleness issues,entity,[],[],Node
multidimensional embeddings and gradient-based learning,entity,[],[],Node
scalability and robustness to noise,entity,[],[],Node
transparency and verifiable interpretability,entity,[],[],Node
Neurosymbolic integration,entity,[],[],Node
neural networks and symbolic layers,entity,[],[],Node
Knowledge Graphs,entity,[],[],Node
symbolic memory and rule repositories,entity,[],[],Node
KG distilled from a neural network,entity,[],[],Node
transparent view of learned representations,entity,[],[],Node
explicit reasoning and knowledge transfer,entity,[],[],Node
auditable and editable persistent knowledge bases,entity,[],[],Node
implicitly in parameters,entity,[],[],Node
Updating LLMs,entity,[],[],Node
resource-intensive fine-tuning or RAG,entity,[],[],Node
GraphRAG,entity,[],[],Node
vector RAG and HybridRAG on arXiv datasets,entity,[],[],Node
LLM context and evidence for retrieval,entity,[],[],Node
scalability and factuality of retrieval,entity,[],[],Node
policy-guided walks in reinforcement learning,entity,[],[],Node
KG extraction from models,entity,[],[],Node
interpretability and auditing of neural decisions,entity,[],[],Node
discoveries via linking unconnected concepts,entity,[],[],Node
Domain-specific KG,entity,[],[],Node
domain-specific superintelligence,entity,[],[],Node
Dedhia et al. (2025),entity,[],[],Node
multi-hop KG paths boost small language model reasoning,entity,[],[],Node
High-quality domain-specific KG,entity,[],[],Node
deeper semantic representations and fine-tuning benefits,entity,[],[],Node
Conventional text datasets,entity,[],[],Node
mostly one-hop knowledge,entity,[],[],Node
Scalable automatic KG extraction,entity,[],[],Node
path to scalable superintelligence,entity,[],[],Node
The rest of the article is organized as follows,event,[],[],Node
"In Sec. 2, we review different KG extraction techniques and motivate the need for a reliable KG",event,[],[],Node
"In Sec. 3, we provide a brief motivational example",event,[],[],Node
"In Sec. 4, we give a detailed overview of our proposed GraphMERT framework and its architecture",event,[],[],Node
The symbolic approach governed the AI field till the 90s,event,[],[],Node
Its drawbacks became evident in the 90s,event,[],[],Node
"Symbolic systems struggle with ambiguity, contextualization, and the fluidity of real-world knowledge",event,[],[],Node
Neural approaches rely on multidimensional embeddings and approximate knowledge grounding,event,[],[],Node
They are robust against outliers and inaccuracies in data and scale learning and inference well,event,[],[],Node
Due to complementary advantages and limitations of symbolic and neural methods,event,[],[],Node
Researchers are increasingly focused on neurosymbolic integration,event,[],[],Node
KGs can be distilled directly from a neural network,event,[],[],Node
"They provide a transparent view of the learned representations of the model, fostering trust and enabling cross-domain transfer",event,[],[],Node
KGs provide an anchoring structure for LLMs to maintain context and make evidence clear,event,[],[],Node
This improves scalability and lowers generation costs,event,[],[],Node
Replacing standard RAG with GraphRAG,event,[],[],Node
Recent work shows GraphRAG outperforms vector RAG and HybridRAG on arXiv datasets with superior factual accuracy and reasoning,event,[],[],Node
By decoupling learning from reasoning,event,[],[],Node
"KGs address interpretability, verifiability, and factuality gaps in modern AI systems",event,[],[],Node
Auditable and editable KGs can serve as a persistent knowledge base in sensitive domains,event,[],[],Node
"Facts can be inspected, verified, and updated directly",event,[],[],Node
Removing knowledge from LLMs requires complex interventions and sophisticated strategies,event,[],[],Node
"This risks catastrophic unlearning and raises concerns about access to harmful content, user privacy, and copyright violations",event,[],[],Node
It relies on domain-agnostic principles.,event,[],[],Node
We do not hard-code any domain-specific parameters to the proposed GraphMERT pipeline.,event,[],[],Node
we,entity,[],[],Node
domain-specific parameters,entity,[],[],Node
It can connect global concepts across the whole dataset throughout training,event,[],[],Node
global concepts,entity,[],[],Node
whole dataset,entity,[],[],Node
training,entity,[],[],Node
The rest of the article is organized as follows.,event,[],[],Node
article,entity,[],[],Node
rest of the article,entity,[],[],Node
"In Sec. 2, we review different KG extraction techniques and motivate the need for a reliable KG.",event,[],[],Node
Sec. 2,entity,[],[],Node
KG extraction techniques,entity,[],[],Node
reliable KG,entity,[],[],Node
"In Sec. 3, we provide a brief motivational example.",event,[],[],Node
Sec. 3,entity,[],[],Node
motivational example,entity,[],[],Node
"In Sec. 4, we give a detailed overview of our proposed GraphMERT framework and its architecture.",event,[],[],Node
Sec. 4,entity,[],[],Node
architecture,entity,[],[],Node
"In Sec. 5, we describe the experimental setup.",event,[],[],Node
Sec. 5,entity,[],[],Node
experimental setup,entity,[],[],Node
"In Sec. 6, we provide experimental results.",event,[],[],Node
Sec. 6,entity,[],[],Node
experimental results,entity,[],[],Node
"In Sec. 7, we discuss the limitations of our methodology and discuss future work.",event,[],[],Node
Sec. 7,entity,[],[],Node
limitations of our methodology,entity,[],[],Node
future work,entity,[],[],Node
We conclude in Sec. 8.,event,[],[],Node
Sec. 8,entity,[],[],Node
article conclusion,entity,[],[],Node
"In this section, we review prior research that is relevant to our work, including applications of neurosymbolic AI and KGs.",event,[],[],Node
prior research,entity,[],[],Node
this section,entity,[],[],Node
"We then examine existing KG extraction methods, their limitations, and how our framework addresses these gaps.",event,[],[],Node
existing KG extraction methods,entity,[],[],Node
their limitations,entity,[],[],Node
our framework,entity,[],[],Node
"Finally, we provide the technical background on graph transformer architectures that is necessary to understand the remainder of this work.",event,[],[],Node
technical background,entity,[],[],Node
graph transformer architectures,entity,[],[],Node
remainder of this work,entity,[],[],Node
The term 'Knowledge Graph' was coined by Google in a blog in 2012.,event,[],[],Node
blog,entity,[],[],Node
2012,entity,[],[],Node
Google anticipated a great potential of graph representation in web search for discerning semantic connections in vast web data to respond to user queries.,event,[],[],Node
graph representation,entity,[],[],Node
web search,entity,[],[],Node
semantic connections,entity,[],[],Node
vast web data,entity,[],[],Node
user queries,entity,[],[],Node
"Since then, KGs have sparked a great deal of research on knowledge-aware applications.",event,[],[],Node
research,entity,[],[],Node
knowledge-aware applications,entity,[],[],Node
"A KG G = (V, E) can be viewed as a directed graph where nodes V represent real-world entities and directed edges E represent relationships between them.",event,[],[],Node
G,entity,[],[],Node
V,entity,[],[],Node
E,entity,[],[],Node
nodes V,entity,[],[],Node
directed edges E,entity,[],[],Node
relationships,entity,[],[],Node
"Each directed edge e = (u, v) ∈ E connects two nodes u, v ∈ V and encodes a relationship r between the corresponding entities.",event,[],[],Node
directed edge e,entity,[],[],Node
u,entity,[],[],Node
v,entity,[],[],Node
relationship r,entity,[],[],Node
corresponding entities,entity,[],[],Node
"Semantically, a KG can be thought of as a set of triples G = 〈h, r, t〉 = 〈head, relation, tail〉.",event,[],[],Node
triples,entity,[],[],Node
h,entity,[],[],Node
r,entity,[],[],Node
t,entity,[],[],Node
head,entity,[],[],Node
relation,entity,[],[],Node
tail,entity,[],[],Node
"For example, 〈Metformin, TREATS, Type 2 Diabetes〉 is one of the triples in the toy KG.",event,[],[],Node
TREATS,entity,[],[],Node
toy KG,entity,[],[],Node
Reasoning is the defining challenge in neurosymbolic AI.,event,[],[],Node
Reasoning,entity,[],[],Node
Researchers have long struggled to combine the efficiency of neural learning with the rigor and interpretability of symbolic inference.,event,[],[],Node
symbolic inference,entity,[],[],Node
efficiency,entity,[],[],Node
"Traditional AI research overwhelmingly associates reasoning with purely symbolic systems, such as expert systems or logic-based AI.",event,[],[],Node
Traditional AI research,entity,[],[],Node
reasoning,entity,[],[],Node
expert systems,entity,[],[],Node
logic-based AI,entity,[],[],Node
"For decades, this paradigm shaped AI practice under the premise that human intelligence could be reduced to formal logic operating on symbols.",event,[],[],Node
this paradigm,entity,[],[],Node
AI practice,entity,[],[],Node
human intelligence,entity,[],[],Node
formal logic,entity,[],[],Node
symbols,entity,[],[],Node
"Symbolic methods offer clarity and structure by explicitly encoding rules over discrete concepts and are reliable, given suitable abstractions.",event,[],[],Node
clarity,entity,[],[],Node
structure,entity,[],[],Node
rules,entity,[],[],Node
discrete concepts,entity,[],[],Node
suitable abstractions,entity,[],[],Node
"The symbolic approach governed the AI field till the 90s, when its drawbacks became evident.",event,[],[],Node
symbolic approach,entity,[],[],Node
AI field,entity,[],[],Node
90s,entity,[],[],Node
drawbacks,entity,[],[],Node
"Symbolic systems struggle with ambiguity, contextualization, and the fluidity of real-world knowledge.",event,[],[],Node
ambiguity,entity,[],[],Node
contextualization,entity,[],[],Node
fluidity of real-world knowledge,entity,[],[],Node
Computational complexity limits scalability of systems that are already prone to brittleness.,event,[],[],Node
Computational complexity,entity,[],[],Node
scalability,entity,[],[],Node
systems,entity,[],[],Node
brittleness,entity,[],[],Node
Complete symbolic grounding of a knowledge base leads to a worst-case combinatorial explosion.,event,[],[],Node
Complete symbolic grounding,entity,[],[],Node
knowledge base,entity,[],[],Node
worst-case combinatorial explosion,entity,[],[],Node
Neural approaches rely on multidimensional embeddings and approximate knowledge grounding through gradient-based learning over a continuous parameter space.,event,[],[],Node
multidimensional embeddings,entity,[],[],Node
gradient-based learning,entity,[],[],Node
continuous parameter space,entity,[],[],Node
"They are robust against outliers and inaccuracies in data, and scale learning and inference well.",event,[],[],Node
outliers,entity,[],[],Node
inaccuracies in data,entity,[],[],Node
learning,entity,[],[],Node
inference,entity,[],[],Node
Modern deep learning excels in domains such as image classification and machine translation.,event,[],[],Node
Modern deep learning,entity,[],[],Node
image classification,entity,[],[],Node
machine translation,entity,[],[],Node
Neural systems are efficient learners but forfeit transparency.,event,[],[],Node
Neural systems,entity,[],[],Node
Their decision pathways remain opaque and lack the verifiable interpretability of symbolic inference.,event,[],[],Node
decision pathways,entity,[],[],Node
opaque,entity,[],[],Node
verifiable interpretability,entity,[],[],Node
"They tend to memorize, thus undermining reliable generalization beyond observed facts, especially in out-of-distribution domains.",event,[],[],Node
memorization,entity,[],[],Node
reliable generalization,entity,[],[],Node
observed facts,entity,[],[],Node
out-of-distribution domains,entity,[],[],Node
Probabilistic and approximate inference accommodates ambiguities but yields imprecise logical inference.,event,[],[],Node
probabilistic inference,entity,[],[],Node
approximate inference,entity,[],[],Node
ambiguities,entity,[],[],Node
imprecise logical inference,entity,[],[],Node
KG generation,entity,[],[],Node
KG extraction,entity,[],[],Node
LLM,entity,[],[],Node
triples conditioned on input texts,entity,[],[],Node
model weights,entity,[],[],Node
Rule-based information extraction systems,entity,[],[],Node
heavy feature engineering and domain expertise,entity,[],[],Node
Modern pipelines,entity,[],[],Node
"named entity recognition, coreference resolution, and relation extraction",entity,[],[],Node
Conditional random fields,entity,[],[],Node
text preprocessing heuristics,entity,[],[],Node
LSTM and CNN,entity,[],[],Node
locality bias,entity,[],[],Node
Errors,entity,[],[],Node
the pipeline,entity,[],[],Node
Embedding-based approach,entity,[],[],Node
Embeddings,entity,[],[],Node
triple completion and link prediction,entity,[],[],Node
KG embedding models,entity,[],[],Node
long multi-hop chains and handle n-ary/qualified relations,entity,[],[],Node
Embedding methods,entity,[],[],Node
"a largely closed-world, static graph",entity,[],[],Node
Cold-start entities and evolving KGs,entity,[],[],Node
expensive retraining or ad-hoc heuristics,entity,[],[],Node
Largest publicly available KGs,entity,[],[],Node
Wikidata and PubGraph,entity,[],[],Node
unevenly across relation types,entity,[],[],Node
LLM-based KG generation,entity,[],[],Node
prompt brittleness and task-framing sensitivity,entity,[],[],Node
Retrieval augmentation,entity,[],[],Node
inconsistency and knowledge-cutoff issues,entity,[],[],Node
conflicts between retrieved evidence and LLM parametric knowledge,entity,[],[],Node
nonsensical or unfaithful outputs,entity,[],[],Node
Hallucinations,entity,[],[],Node
model size or training data scale,entity,[],[],Node
inverse inference (reversal curse),entity,[],[],Node
Factuality errors,entity,[],[],Node
High-stakes domains,entity,[],[],Node
"verification, interpretability, and explainability",entity,[],[],Node
State-of-the-art LLM capabilities,entity,[],[],Node
"model size, dataset scale, and compute are large",entity,[],[],Node
Flawed data sources with misinformation and biases,entity,[],[],Node
Domain adaptation with fine-tuning,entity,[],[],Node
factuality and coherence but risks catastrophic forgetting,entity,[],[],Node
Continued pretraining,entity,[],[],Node
more smoothly to a target domain but requires substantial data,entity,[],[],Node
Research efforts,entity,[],[],Node
maximizing LLM performance with less data (quality-quantity trade-off),entity,[],[],Node
knowledge graphs for global sense-making,entity,[],[],Node
GraphRAG indexing stage,entity,[],[],Node
an entity-level KG and partition it into nested communities,entity,[],[],Node
GraphRAG querying stage,entity,[],[],Node
a subgraph based on community summaries and the query,entity,[],[],Node
GraphRAG hierarchical design,entity,[],[],Node
vector-based RAG,entity,[],[],Node
GraphRAG output accuracy,entity,[],[],Node
"coverage, validity, and factuality of the KG",entity,[],[],Node
Early rule-based information extraction systems demanded heavy feature engineering and domain expertise,event,[],[],Node
"Modern pipelines sequentially chain machine learning components such as named entity recognition, coreference resolution, and relation extraction",event,[],[],Node
These systems require sophisticated text preprocessing heuristics,event,[],[],Node
Errors propagate over the pipeline,event,[],[],Node
"Overall, these methods are very labor-intensive, not fully automatic, and hard to scale",event,[],[],Node
An embedding-based approach seeks to train ML methods on KGs to capture semantic and structural patterns,event,[],[],Node
Embeddings enable the model to predict missing links and estimate the likelihood of new relations,event,[],[],Node
Most KG embedding models operate on local triple patterns,event,[],[],Node
"They struggle to compose long multi-hop chains, handle negation, or respect ontological constraints",event,[],[],Node
"Embedding-based approaches assume a largely closed-world, static graph",event,[],[],Node
Cold-start entities and evolving KGs typically require expensive retraining or ad-hoc heuristics,event,[],[],Node
"With the tremendous success of LLMs on many NLP tasks, modern research on KG extraction is skewed towards extracting relational knowledge from LLM weights using prompts",event,[],[],Node
"The widespread adoption of LLMs can be attributed to their versatility across tasks, adaptability to diverse domains, and ease of use",event,[],[],Node
LLMs are brittle with respect to prompts,event,[],[],Node
KG extraction with prompts is biased towards prompt structure and sensitive to task framing,event,[],[],Node
Retrieval augmentation can mitigate inconsistency and knowledge-cutoff issues,event,[],[],Node
It introduces new failure modes such as conflicts between retrieved evidence and LLM parametric knowledge and imperfections in retrieval and ranking,event,[],[],Node
LLMs hallucinate outputs that are nonsensical or unfaithful to the provided source content,event,[],[],Node
Hallucinations persist regardless of model size or training data scale,event,[],[],Node
Verifying or synthesizing high-quality data at the LLM scale is infeasible,event,[],[],Node
There is a fundamental size-quality trade-off in acquiring reliable training data,event,[],[],Node
In the GraphRAG indexing stage an LLM builds an entity-level KG and then partitions the graph into a hierarchy of nested communities,event,[],[],Node
In the querying stage GraphRAG extracts a subgraph based on the pre-generated community summaries and the query and uses that subgraph as context to generate answers,event,[],[],Node
A poorly constructed KG has incomplete entities or incorrect relationships,event,[],[],Node
"GraphRAG produces fragmented, inaccurate, or nonsensical responses",event,[],[],Node
We differentiate KG extraction from KG generation to clarify their advantages limitations and application scopes,event,[],[],Node
We classify methods where an LLM plays a pivotal role in the KG construction pipeline under the category of KG generation,event,[],[],Node
KG construction pipeline,entity,[],[],Node
We refer to all other approaches as KG extraction,event,[],[],Node
other approaches,entity,[],[],Node
Early rule-based information extraction systems,entity,[],[],Node
feature engineering,entity,[],[],Node
domain expertise,entity,[],[],Node
Modern pipelines sequentially chain machine learning components often relying on structured or semi-structured data,event,[],[],Node
machine learning components,entity,[],[],Node
structured data,entity,[],[],Node
semi-structured data,entity,[],[],Node
These systems,entity,[],[],Node
Long short-term memories and convolutional neural networks introduce locality bias,event,[],[],Node
Long short-term memories,entity,[],[],Node
convolutional neural networks,entity,[],[],Node
pipeline,entity,[],[],Node
An embedding-based approach seeks to train ML methods on KGs to capture semantic and structural patterns into embeddings,event,[],[],Node
embedding-based approach,entity,[],[],Node
ML methods,entity,[],[],Node
embeddings,entity,[],[],Node
model,entity,[],[],Node
missing links,entity,[],[],Node
new relations,entity,[],[],Node
This approach suffers from selection bias lack of scalability brittleness to KG errors and limited external world knowledge,event,[],[],Node
This approach,entity,[],[],Node
selection bias,entity,[],[],Node
KG errors,entity,[],[],Node
external/world knowledge,entity,[],[],Node
Most KG embedding models operate on local triple patterns and struggle to compose long multi-hop chains handle negation or respect ontological constraints,event,[],[],Node
local triple patterns,entity,[],[],Node
multi-hop chains,entity,[],[],Node
negation,entity,[],[],Node
ontological constraints,entity,[],[],Node
They also assume a largely closed-world static graph which requires expensive retraining for cold-start entities and evolving KGs,event,[],[],Node
They,entity,[],[],Node
closed-world static graph,entity,[],[],Node
cold-start entities,entity,[],[],Node
evolving KGs,entity,[],[],Node
Embedding-based approaches face limitations due to sparsity limited information and vocabulary scale mismatches,event,[],[],Node
Embedding-based approaches,entity,[],[],Node
sparsity,entity,[],[],Node
limited information,entity,[],[],Node
vocabulary,entity,[],[],Node
scale mismatches,entity,[],[],Node
Embedding methods are useful in task-specific applications but fall short in extending KGs on their own,event,[],[],Node
task-specific applications,entity,[],[],Node
